title,bedrooms,bathrooms,car_spaces,land_size,building_size,multiple_floor,issecurity,isgarden,isbalcony,iscourtyard,lokasi, harga 
Cluster Mewah Minimalist Dekat Pintu Toll BSD,3,3,1,61,80,1,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp1,000,000,000.00 "
Dijual Rumah Strategis Dekat Pamulang Harga All In Nego DP Ringan Siap KPR,2,1,1,70,36,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp530,000,000.00 "
"Rumah cantik dan luas dekat stasiun jurangmangu, Ciputat",2,1,1,140,45,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp875,000,000.00 "
"Dijual Rumah Semi Furnsihed dalam Cluster di Jl. Musyawarah, Ciputat.",2,1,1,84,50,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp1,000,000,000.00 "
"Rumah cantik siap huni dijual cepat, permata Pamulang",3,2,1,120,100,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp800,000,000.00 "
Rumah Asri 2 Lantai di Perumahan Lagoon Serpong Harga All In KPR Siap Nego,2,2,1,84,59,2,1,1,1,1,"Setu, Tangerang Selatan"," Rp950,000,000.00 "
Rumah Seken Bebas Banjir Siap KPR Dekat Pamulang Harga All In Bisa Nego,3,1,1,131,140,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp845,000,000.00 "
Rumah 2 Lantai Siap Huni Dekat Serpong Tangsel Harga All In Nego Bisa KPR,3,2,1,72,144,2,1,0,1,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp840,000,000.00 "
Rumah Bebas Banjir di Permata Hill Residence Harga All In Nego Bisa KPR,2,1,1,68,36,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp500,000,000.00 "
Dijual Rumah Minimalis Bisa KPR di Pondok Aren Residence Harga All In,2,1,1,72,45,1,1,1,0,1,"Bintaro, Tangerang Selatan"," Rp936,000,000.00 "
Rumah Strategis Siap KPR di Perum Citra Prima Serpong Harga All In Bisa Nego,3,2,1,72,144,2,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp960,000,000.00 "
"Di Jual Rumah di Pamulang , jl Puspitek tangsel",2,1,1,84,50,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp963,000,000.00 "
Rumah Minimalis 2 Lantai di Serpong Natura Bebas Banjir Harga All In Siap KPR,3,2,1,81,51,2,1,1,0,1,"Serpong, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Seken Strategis Bebas Banjir Dekat Pamulang Tangsel Siap KPR Harga All In,3,2,1,81,51,2,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp960,000,000.00 "
"Rumah minimalis di hook jual cepat di pondok cabe, Tangerang Selatan",3,2,1,82,72,1,0,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp890,000,000.00 "
"Rumah minimalis di Serpong Lagoon, Tangerang Selatan",2,2,1,84,59,1,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp950,000,000.00 "
Rumah Strategis Siap KPR Dekat Alam Sutera Harga All In Bebas Banjir,3,1,1,103,90,1,1,1,0,0,"Alam Sutera, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Strategis Dekat BSD Tangsel Harga All In Bisa Nego Siap KPR,2,1,1,81,42,1,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp770,000,000.00 "
Rumah Strategis Siap KPR Dekat Serpong Harga All In Bisa Nego Ready Furnished,2,1,1,84,39,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp930,000,000.00 "
Rumah 2 Lantai Siap Huni di Perum Citra Prima Serpong Harga All In Bisa KPR,3,2,1,72,144,2,1,0,1,0,"Serpong, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Minimalis Unit Pojok di Pamulang Park Residence Harga All In Bisa KPR,2,1,1,121,60,1,1,1,0,1,"Ciputat, Tangerang Selatan"," Rp999,000,000.00 "
Rumah Strategis Bebas Banjir Dekat Alam Sutera Harga All In Siap KPR,2,1,1,104,60,1,1,1,0,1,"Alam Sutera, Tangerang Selatan"," Rp700,000,000.00 "
Rumah Minimalis Modern Siap KPR di Villa Gardenia Serpong Harga All In,3,2,1,69,70,2,1,0,0,1,"Serpong, Tangerang Selatan"," Rp990,000,000.00 "
Rumah Strategis Dekat Halte Busway Ciputat Harga All In Bisa KPR,3,2,1,94,70,1,1,1,0,0,"Ciputat, Tangerang Selatan"," Rp925,000,000.00 "
Rumah Bebas Banjir di Jalan Cempaka Dekat Pamulang Harga All In Siap KPR,3,1,1,150,125,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp950,000,000.00 "
Rumah Asri Siap KPR Dekat Terminal Ciputat Harga All In Bebas Banjir,2,1,1,72,41,1,1,1,0,1,"Ciputat, Tangerang Selatan"," Rp840,000,000.00 "
Rumah Bebas Banjir Siap KPR Dekat Serpong Tangsel Harga All In Bisa Nego,2,1,1,72,36,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp775,000,000.00 "
Rumah Strategis Harga All In KPR Dekat BSD Tangsel Bebas Banjir Siap Nego,2,2,1,84,59,2,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp950,000,000.00 "
Rumah Minimalis Asri Siap Huni Dekat Living Plaza Pamulang Harga All In Bisa KPR,2,1,1,72,41,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp840,000,000.00 "
Dijual Rumah Strategis Bebas Banjir Dekat Pamulang Harga All In Nego Siap Huni,3,1,1,81,81,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Idaman Strategis di Natura Serpong Bebas Banjir Harga All In Bisa KPR,2,1,1,72,39,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp850,000,000.00 "
Rumah Unit Pojokan Siap Huni di Villa Gardenia Tangsel Harga All In Bisa KPR,3,2,1,69,70,2,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp990,000,000.00 "
Rumah Minimalis Unit Pojokan Dekat Ciputat Bebas Banjir Harga All In Siap KPR,2,1,1,90,60,1,1,1,0,1,"Ciputat, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Asri Idaman Siap Huni di Camila Residence Tangsel Harga All In Bisa KPR,2,1,1,81,42,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp770,000,000.00 "
Rumah Ready Furnished Siap Huni Dekat Pamulang Harga All In Bisa KPR,2,1,1,81,45,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Minimalis Siap KPR di Vila Dago Pamulang Harga All In Bisa Nego,3,2,1,94,70,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp925,000,000.00 "
Rumah Siap Huni di Pamulang Park Residence Harga All In Bisa KPR Ready Furniture,2,1,1,90,60,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Nego Bebas Banjir Dekat Pamulang Tangsel Siap Huni Harga All In Bisa KPR,2,1,1,84,39,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp930,000,000.00 "
Rumah Idaman Bebas Banjir Dekat Serpong Harga All In Siap KPR,2,1,1,81,45,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp900,000,000.00 "
